path,year,model,gpu,problem,correct,tok_len,reported_completion_tokens,tokens_from_logprobs,length_consistent,len_chars,mean_token_logprob,mean_negative_logprob
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_1/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/2/gen_1/result.json,,2,False,8036,8036,8036,True,28243,-0.8963761537672372,0.8963761537672372
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_4/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_4/result.json,,10,False,9068,9068,9068,True,28576,-0.6823343147087954,0.6823343147087954
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_0/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_0/result.json,,10,False,11118,11118,11118,True,42530,-1.058268568713818,1.058268568713818
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_7/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_7/result.json,,10,False,10731,10731,10731,True,35923,-0.9078264853144495,0.9078264853144495
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_2/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_2/result.json,,10,False,9126,9126,9126,True,30242,-0.7894632479071316,0.7894632479071316
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_5/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_5/result.json,,10,False,7076,7076,7076,True,28078,-0.8672733809879553,0.8672733809879553
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_3/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_3/result.json,,10,False,9347,9347,9347,True,32838,-0.8689093401102648,0.8689093401102648
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_6/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_6/result.json,,10,False,7989,7989,7989,True,26815,-0.7368473037423445,0.7368473037423445
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_1/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/10/gen_1/result.json,,10,False,4944,4944,4944,True,20240,-0.89733525328109,0.89733525328109
results/self_classification/aime/deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/8/gen_4/result.json,1991,deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B/temp_0.6/1991/I/8/gen_4/result.json,,8,True,4566,4566,4566,True,13875,-0.49975779311430385,0.49975779311430385
