problem,bucket,metric,count,mean,std,min,p25,median,p75,max
12,incorrect,mean_negative_logprob,359,0.6921,0.1578,0.3312,0.5639,0.6930,0.8099,1.1085
12,incorrect,mean_logprob,359,-0.6921,0.1578,-1.1085,-0.8099,-0.6930,-0.5639,-0.3312
13,correct,response_length_chars,102,17046.1471,6408.0855,6873.0000,12902.7500,15612.0000,20552.2500,34496.0000
13,correct,response_length_tokens,102,5823.9510,2106.6489,2460.0000,4358.5000,5451.0000,7041.0000,12941.0000
13,correct,mean_negative_logprob,102,0.5320,0.1493,0.2270,0.4322,0.5208,0.6028,0.9467
13,correct,mean_logprob,102,-0.5320,0.1493,-0.9467,-0.6028,-0.5208,-0.4322,-0.2270
13,incorrect,response_length_chars,383,30098.0966,7846.2564,10555.0000,24766.5000,31406.0000,35659.0000,50387.0000
13,incorrect,response_length_tokens,383,9760.7154,2817.4638,3184.0000,7938.0000,9934.0000,11591.0000,16000.0000
13,incorrect,mean_negative_logprob,383,0.7020,0.1573,0.3395,0.5870,0.7129,0.8078,1.0856
13,incorrect,mean_logprob,383,-0.7020,0.1573,-1.0856,-0.8078,-0.7129,-0.5870,-0.3395
14,correct,response_length_chars,82,18090.3659,8178.1756,3533.0000,11387.7500,16799.0000,21797.7500,37807.0000
14,correct,response_length_tokens,82,6373.1585,3091.4827,977.0000,3985.2500,5875.0000,8169.7500,14791.0000
14,correct,mean_negative_logprob,82,0.5238,0.1339,0.2576,0.4177,0.5121,0.6143,0.8311
14,correct,mean_logprob,82,-0.5238,0.1339,-0.8311,-0.6143,-0.5121,-0.4177,-0.2576
14,incorrect,response_length_chars,442,30515.8891,8588.6990,7512.0000,25338.5000,29783.0000,36109.0000,58429.0000
14,incorrect,response_length_tokens,442,9537.2376,2999.5010,2375.0000,7689.0000,9519.5000,11578.0000,16000.0000
14,incorrect,mean_negative_logprob,442,0.7363,0.1653,0.3594,0.6252,0.7053,0.8474,1.1578
14,incorrect,mean_logprob,442,-0.7363,0.1653,-1.1578,-0.8474,-0.7053,-0.6252,-0.3594
15,correct,response_length_chars,30,17049.0667,10651.3134,5819.0000,8249.0000,14455.0000,21334.0000,39922.0000
15,correct,response_length_tokens,30,5750.7333,3271.4897,2256.0000,2849.2500,5655.0000,7817.5000,14400.0000
15,correct,mean_negative_logprob,30,0.5309,0.1518,0.3148,0.4235,0.4988,0.5897,0.9217
15,correct,mean_logprob,30,-0.5309,0.1518,-0.9217,-0.5897,-0.4988,-0.4235,-0.3148
15,incorrect,response_length_chars,451,30566.7184,7449.9926,11006.0000,26031.5000,30471.0000,35061.0000,54086.0000
15,incorrect,response_length_tokens,451,9216.5499,2677.0990,2445.0000,7116.5000,9412.0000,11296.0000,15902.0000
15,incorrect,mean_negative_logprob,451,0.7586,0.1633,0.4293,0.6301,0.7515,0.8829,1.1346
15,incorrect,mean_logprob,451,-0.7586,0.1633,-1.1346,-0.8829,-0.7515,-0.6301,-0.4293
